id,rec_price_m,price,city,lat,lon,bathrooms,height,state,type,year,floor,max_floor,area,views
1010248781,893050,130900000,Алматы,43.235856,76.925648,1,2,свежий ремонт,монолитный,2024,9,12,81,35
1009522643,457840,28000000,Астана,51.171666,71.459238,1,2.7,"не новый, но аккуратный ремонт Санузел раздельный",кирпичный,1989,1,2,4,104
1009439818,685720,27500000,Алматы,43.210472,76.787083,1,2.7,свежий ремонт,монолитный,2024,5,9,29,107
1007993538,632920,42000000,Алматы,43.168886177231,76.872437596321,1,2.9,свежий ремонт,монолитный,2016,8,10,62,35
1009910950,915810,22800000,Алматы,43.268667,76.939384,1,2,"не новый, но аккуратный ремонт Высота потолков 2.7 м",кирпичный,1960,3,3,33,4633
1005336944,551830,140000000,Астана,51.161098453202,71.399003641034,2,2,черновая отделка,монолитный,2023,14,17,130,244
760758572,707390,33000000,Алматы,43.195462554392,76.879048244583,1,2,черновая отделка,кирпичный,1982,1,5,4,296
698595019,631660,33000000,Алматы,43.272466903006,76.829214516536,1,2.7,свежий ремонт,монолитный,2024,6,7,49,88
688649923,582420,32500000,Алматы,43.353912,76.924921,1,2.7,свежий ремонт Санузел раздельный,кирпичный,1979,1,3,58,11
1011249235,348850,16000000,Тараз,42.873208,71.380618,1,2,"не новый, но аккуратный ремонт Балкон балкон",кирпичный,1972,2,5,9,88
1007568827,556470,52000000,Алматы,43.240033,76.825315,1,2.8,черновая отделка,монолитный,2008,8,10,98,296
760927280,799460,70000000,Астана,51.098200918354,71.434872635385,2,2,черновая отделка,кирпичный,2022,10,10,98,31
687504957,860330,19500000,Алматы,43.239326185179,76.885010572566,1,2.5,"не новый, но аккуратный ремонт Санузел совмещенный",панельный,1964,5,5,24,222
667518628,552160,27000000,Алматы,43.345357,76.990067,1,2,черновая отделка,кирпичный,1965,1,3,42,233
1008455629,552120,60000000,Алматы,43.303011632916,76.838161228171,1,2.8,"не новый, но аккуратный ремонт Санузел совмещенный",монолитный,2017,2,5,8,177
1010896100,891080,41500000,Алматы,43.21780463111,76.883636864724,1,2,черновая отделка,монолитный,2025,1,9,43,138
1010299600,881380,40400000,Алматы,43.243641487335,76.856425664969,1,2,черновая отделка,монолитный,2023,4,16,1,175
1010033706,655280,30500000,Алматы,43.224676,76.782116,1,2.8,черновая отделка,монолитный,2017,5,10,40,278
1010032687,964560,40000000,Алматы,43.247480483036,76.854341205885,1,2.8,свежий ремонт Санузел совмещенный,City Plus 3,2025,1,10,2,171
1009672390,647410,27500000,Алматы,43.229215,76.845932,1,2,черновая отделка,панельный,1963,1,4,4,73
1009656736,798660,52000000,Астана,51.099040989311,71.437318204178,2,2.7,свежий ремонт,монолитный,2020,2,9,72,14
1008011862,655950,41000000,Астана,51.105916496793,71.501046641694,1,3.3,свободная планировка,кирпичный,2026,4,6,35,196
1007943457,894150,58000000,Алматы,43.253956388583,76.864090050478,1,2,черновая отделка,монолитный,2024,12,13,7,214
1007205455,740910,43500000,Астана,51.12604763169,71.365519940597,1,2,черновая отделка,монолитный,2025,11,12,65,96
1006872938,646950,27500000,Алматы,43.217377,76.778837,1,2,черновая отделка,монолитный,2023,3,10,47,85
1006415944,608010,31000000,Астана,51.120802504009,71.48812870743,1,2,свежий ремонт,монолитный,2023,4,12,40,24
1011267860,462850,14500000,Астана,51.149966252432,71.472877860752,1,2,черновая отделка,1985,1985,5,5,35,308
687598307,493480,28500000,Алматы,43.296786668498,76.896346364925,1,2.7,свежий ремонт,монолитный,2021,8,8,6,262
1009907316,476950,35000000,Астана,51.127659,71.505717,1,2.7,свежий ремонт Санузел раздельный,кирпичный,2012,2,6,78,2341
1010244972,997820,33500000,Алматы,43.252754599162,76.897778014053,1,2.7,свежий ремонт,монолитный,2023,8,13,6,35
1010039131,589560,11300000,Астана,51.126465903968,71.29332640813,1,2.7,черновая отделка,кирпичный,2023,4,4,4,93
682074397,747410,82300000,Алматы,43.25079,76.898941,1,2.8,"не новый, но аккуратный ремонт Санузел совмещенный",монолитный,2011,9,10,3,109
1009935746,666990,24000000,Алматы,43.268953006199,76.823329925483,1,2,черновая отделка,монолитный,2025,5,12,1,172
1008690559,879740,77000000,Алматы,43.289476531657,76.997820818204,1,2.85,свежий ремонт,монолитный,2024,3,6,8,311
1007223240,871530,34000000,Алматы,43.236644164986,76.853309730824,1,2.8,"не новый, но аккуратный ремонт",монолитный,2021,2,13,37,139
699403089,755470,75000000,Алматы,43.217472106922,76.880296684211,2,2.7,черновая отделка,монолитный,2017,16,17,84,115
697436001,901160,89900000,Алматы,43.197309220898,76.894640553642,1,2,"не новый, но аккуратный ремонт",монолитный,2021,11,14,64,269
1010915093,961640,85000000,Алматы,43.255828119543,76.980167151314,2,2,свежий ремонт Санузел 2 с/у и более,монолитный,2025,7,8,82,231
1010880583,715810,33000000,Астана,51.101722,71.386915,1,2,черновая отделка,Улы Дала Авеню,2025,2,17,44,265
1010870078,747720,26000000,Астана,51.102669834684,71.372158332827,1,2.7,свежий ремонт,монолитный,2026,7,9,42,293
1010793644,618040,43500000,Астана,51.129258135817,71.463185923378,1,3.15,черновая отделка,монолитный,2025,14,18,8,238
1010288887,596570,9800000,Астана,51.119371,71.276206,1,2.8,черновая отделка,кирпичный,2025,2,5,5,257
1009755434,667810,26500000,Алматы,43.332273239723,77.016898751256,1,2.9,черновая отделка,монолитный,2026,2,4,42,294
1009678090,609340,31000000,Алматы,43.355826,76.976188,1,2.7,"не новый, но аккуратный ремонт Санузел совмещенный",иной,2015,2,5,55,264
1009479957,702940,28000000,Алматы,43.260179,76.822216,1,2.7,"не новый, но аккуратный ремонт",монолитный,2019,2,12,7,65
1009224835,615890,41999999,Астана,51.128388403692,71.487231149822,1,2,черновая отделка,Сенатор Park,2023,13,14,93,126
1009076561,669420,34800000,Алматы,43.212056,76.799696,1,2.7,черновая отделка Дверь металлическая,монолитный,2026,5,9,4,260
1008830386,633280,35000000,Алматы,43.261998,76.802678,1,2.7,свежий ремонт,монолитный,2025,1,12,9,237
695408730,408570,60000000,Актобе,50.278013824374,57.119979855779,1,2,черновая отделка,кирпичный,2024,3,5,170,1651
1011435384,562670,18000000,Астана,51.140568574283,71.477754299063,1,2,черновая отделка,2019,2019,12,13,36,0
1011428976,486820,17500000,Астана,51.15706,71.512158,1,2,черновая отделка,монолитный,2007,6,9,39,15
668244522,562170,45000000,Алматы,43.254191,76.818039,2,2.7,свежий ремонт,монолитный,2018,9,9,88,221
1007859320,872360,38800000,Алматы,43.211723363613,76.88010097654,1,2,черновая отделка,монолитный,2005,9,9,51,245
1004931565,631660,24500000,Алматы,43.25346276681,76.791623362905,1,2.75,черновая отделка,монолитный,2024,2,3,2,90
762179394,630550,37500000,Алматы,43.260503549015,76.82140531891,1,2.8,"не новый, но аккуратный ремонт",монолитный,2019,13,14,56,160
1011024414,713240,49000000,Алматы,43.226986858788,76.801971506414,1,2,свежий ремонт,монолитный,2025,8,12,5,20
1010743790,631280,95000000,Алматы,43.273452892023,76.811631553475,1,2.7,свежий ремонт,монолитный,2025,2,6,93,199
1010249076,687970,39500000,Алматы,43.240204,76.861104,1,2.7,свежий ремонт Санузел раздельный,панельный,1978,3,5,1,214
1010244242,467510,44000000,Астана,51.160176376676,71.455183066427,1,2.7,"не новый, но аккуратный ремонт",кирпичный,2008,1,9,6,65
